Student_ID,Gender,Age,Semester,Study_Hours_Per_Day,Assignment_Load,Sleep_Hours,Attendance_Percentage,Screen_Time_Hours,Caffeine_Intake,Extracurricular_Hours,Exam_Pressure,Financial_Stress,Social_Support,Stress_Level
S046,Female,21,2,8.1,7,5.3,77,6.4,2,0,7,1,9,Medium
S047,Male,20,7,6.6,2,4.7,86,7.5,4,2,2,5,9,Low
S048,Female,23,7,7.6,6,4.1,90,7.4,5,2,9,3,4,High
S049,Female,23,7,5.5,3,7.7,84,4.5,3,4,1,5,5,Low
S050,Male,21,6,2.4,8,7.3,93,7.6,3,5,4,9,8,Medium
S051,Male,23,2,5.5,5,7.0,97,5.6,5,5,10,6,2,High
S052,Male,23,5,5.5,4,6.9,77,5.6,1,0,1,4,8,Low
S053,Male,21,7,8.7,10,7.2,77,4.6,5,5,7,8,7,High
S054,Male,19,1,6.3,2,5.0,92,8.6,1,1,9,8,1,High
S055,Male,24,2,7.3,8,5.3,73,8.9,3,5,9,9,10,High
S056,Female,24,8,5.8,10,7.7,97,10.8,3,4,8,3,8,Medium
S057,Female,20,4,4.5,5,5.4,98,5.2,3,5,4,5,8,Low
S058,Male,23,5,3.4,4,6.4,82,7.7,2,2,9,2,3,Medium
S059,Male,19,7,5.6,3,7.7,78,7.0,0,3,7,6,9,Low
S060,Female,21,1,7.9,4,6.1,91,12.4,3,4,1,10,7,Medium
S061,Female,18,6,6.3,5,5.2,89,4.9,3,4,9,10,4,High
S062,Female,19,5,6.0,7,6.2,96,8.4,0,3,6,7,3,High
S063,Female,19,1,5.9,7,6.4,66,5.3,0,5,7,3,8,Medium
S064,Male,18,5,2.0,7,5.8,85,8.7,1,3,6,6,7,Medium
S065,Female,24,7,5.4,5,4.6,70,7.3,3,0,9,1,6,Medium
S066,Male,23,2,5.8,1,5.2,66,7.3,1,1,1,10,3,Medium
S067,Male,19,8,5.1,2,4.8,78,7.7,3,5,5,6,3,Medium
S068,Male,24,3,6.1,5,8.1,71,9.1,4,0,5,10,7,Medium
S069,Female,23,4,2.2,2,5.1,80,8.0,0,5,5,10,2,Medium
S070,Male,20,7,6.0,6,7.3,69,14.0,4,5,6,1,7,Medium
S071,Female,18,7,6.1,6,8.2,94,8.9,5,1,7,3,9,Medium
S072,Female,22,8,6.3,8,6.0,92,8.5,5,4,5,6,4,High
S073,Male,20,8,3.5,4,6.1,94,6.0,4,4,7,6,1,Medium
S074,Female,24,6,5.2,3,9.0,96,3.3,1,2,5,6,5,Low
S075,Female,22,1,6.4,9,4.1,77,6.1,0,1,7,8,9,High
S076,Male,23,8,7.2,8,6.6,93,4.8,0,0,5,4,7,Medium
S077,Male,20,6,3.6,8,7.5,100,5.5,4,2,7,9,6,High
S078,Female,23,8,5.4,5,6.6,84,5.7,2,1,2,4,6,Low
S079,Male,23,3,9.3,4,7.5,78,2.9,5,3,5,10,9,Medium
S080,Female,18,4,5.4,5,5.5,79,8.7,2,1,5,1,9,Low
S081,Male,20,1,3.4,1,6.3,100,8.0,2,5,3,8,2,Low
S082,Male,22,5,6.7,8,4.7,95,6.3,3,2,3,1,5,Medium
S083,Female,18,2,4.1,7,5.5,96,10.5,0,4,1,3,3,Medium
S084,Female,18,4,5.8,2,4.6,100,8.8,3,4,10,10,4,High
S085,Female,21,8,9.2,5,8.0,92,4.0,2,4,10,1,10,Low
S086,Male,24,4,4.0,4,8.4,81,5.6,5,0,3,4,3,Low
S087,Male,19,1,5.9,7,7.7,93,5.1,5,4,8,5,1,High
S088,Male,20,5,4.9,8,3.0,69,5.0,5,1,5,10,4,High
S089,Female,18,4,4.5,3,4.6,82,10.3,1,0,1,3,5,Low
S090,Female,21,2,2.1,8,5.8,84,7.3,5,3,5,9,9,Medium
S091,Female,21,2,7.9,10,4.3,67,9.3,3,5,6,10,5,High
S092,Male,18,4,5.0,10,5.0,66,7.9,5,2,10,1,3,High
S093,Female,22,8,5.4,5,5.6,76,7.1,4,3,8,2,8,Medium
S094,Female,21,6,4.2,6,6.7,71,8.3,1,2,7,8,5,High
S095,Female,24,1,8.2,8,4.6,70,11.3,2,2,6,2,7,High
S096,Male,23,8,1.1,7,6.3,68,8.2,1,4,6,10,8,Medium
S097,Female,24,1,5.6,4,5.6,82,6.6,4,1,5,8,8,Medium
S098,Male,18,4,4.0,3,5.6,84,8.7,4,0,9,7,2,High
S099,Male,24,2,5.7,8,5.5,72,8.8,5,1,8,5,9,High
S100,Female,21,8,5.6,8,7.7,80,8.3,3,4,3,7,4,Medium
S101,Male,24,2,3.3,5,5.7,91,8.5,2,4,5,1,5,Low
S102,Female,24,8,6.2,3,6.5,93,7.2,4,3,6,6,9,Medium
S103,Female,21,6,7.6,4,5.6,80,8.1,4,3,4,7,1,High
S104,Female,23,8,4.6,7,6.2,89,9.2,5,5,3,8,1,High
S105,Male,22,6,6.7,2,7.7,93,9.6,0,4,8,1,3,Low
S106,Female,24,3,5.0,2,7.5,95,6.4,2,2,10,7,2,High
S107,Female,24,7,5.6,6,6.3,96,7.2,4,0,10,2,4,High
S108,Female,19,2,6.2,7,5.3,71,11.2,5,5,2,8,3,High
S109,Female,18,1,3.0,6,4.7,68,9.3,2,2,6,7,3,High
S110,Male,22,7,6.6,10,7.4,76,8.3,1,1,2,10,7,Medium
S111,Male,21,3,5.0,4,5.2,94,7.2,5,2,8,5,1,High
S112,Female,20,3,3.6,2,8.0,93,6.7,2,4,5,7,5,Low
S113,Female,24,5,3.3,4,6.0,89,7.8,3,0,4,7,10,Low
S114,Female,22,5,3.9,5,5.3,66,7.5,5,3,5,1,10,Low
S115,Male,22,8,5.5,5,5.7,79,6.1,4,2,4,4,10,Low
S116,Female,23,3,5.5,2,4.3,67,4.2,2,3,1,10,6,Low
S117,Male,18,5,3.6,6,6.2,91,7.6,1,1,3,9,6,Medium
S118,Female,24,3,8.0,5,7.8,95,6.7,2,5,6,2,8,Low
S119,Male,19,4,5.0,7,5.0,100,7.0,2,0,7,1,5,Medium
S120,Male,21,6,4.4,5,7.0,89,5.3,5,2,2,4,8,Low
S121,Male,22,6,6.0,10,8.8,79,6.8,5,0,8,5,7,High
S122,Male,19,1,5.8,1,7.5,84,6.2,3,0,2,4,9,Low
S123,Male,21,8,5.4,6,6.5,99,7.2,3,4,3,7,2,Medium
S124,Female,22,7,3.5,5,6.5,67,8.0,5,2,4,8,8,Medium
S125,Male,24,6,7.9,2,7.9,88,11.3,4,5,6,1,7,Low
S126,Female,19,2,3.5,8,7.8,70,7.4,5,1,10,1,1,High
S127,Female,19,3,9.4,10,5.3,78,5.3,0,4,4,10,4,High
S128,Male,20,3,3.8,10,3.3,65,5.9,2,1,3,9,5,High
S129,Male,18,1,3.5,3,6.7,65,7.7,2,1,10,6,1,High
S130,Male,20,1,8.8,3,7.9,91,5.8,4,0,2,8,8,Low
S131,Female,22,2,3.2,8,7.2,97,4.4,1,4,1,9,5,Medium
S132,Female,23,1,8.7,1,8.3,95,6.1,3,3,2,8,8,Low
S133,Male,18,6,1.6,10,8.5,74,6.8,0,1,5,10,10,Medium
S134,Female,21,5,7.5,8,4.1,97,5.8,4,3,2,2,9,Medium
S135,Male,21,8,5.0,4,6.6,91,6.1,2,3,7,7,2,Medium
S136,Female,21,6,6.2,5,4.9,88,6.7,1,5,8,2,2,Medium
S137,Male,18,7,5.2,2,7.3,88,8.4,1,4,1,10,9,Low
S138,Female,23,2,2.8,7,4.2,87,9.6,5,3,1,5,10,Low
S139,Female,20,2,5.7,10,5.4,97,10.1,1,1,8,4,2,High
S140,Female,24,6,5.2,2,8.3,82,7.1,4,1,7,9,10,Medium
S141,Male,22,5,9.1,1,9.0,76,6.5,2,5,5,6,6,Low
S142,Male,19,3,6.9,10,7.5,90,9.7,0,1,1,2,9,Low
S143,Male,21,7,3.1,8,7.5,86,9.1,1,2,5,6,10,Medium
S144,Male,18,3,1.5,3,4.7,68,2.9,5,0,5,8,7,Medium
S145,Female,22,8,4.5,7,7.6,82,10.0,1,4,2,6,7,Low
S146,Male,20,8,5.1,9,8.9,84,4.2,0,1,7,10,1,High
S147,Male,19,5,1.6,4,6.4,73,7.8,2,2,6,2,1,Medium
S148,Female,23,7,4.9,3,3.4,73,6.8,3,4,4,9,9,Medium
S149,Female,18,7,2.4,1,7.5,92,7.7,0,3,2,6,10,Low
S150,Female,22,7,3.1,7,5.7,83,4.9,0,3,1,6,3,Medium
S151,Female,24,6,4.9,2,7.9,92,5.0,0,1,7,10,7,Medium
S152,Male,21,5,6.0,6,5.7,79,5.4,2,1,2,9,2,Medium
S153,Male,24,6,4.8,6,4.9,74,5.9,1,0,3,5,4,Medium
S154,Male,22,3,2.6,2,9.0,76,7.1,5,3,8,10,10,Low
S155,Female,23,6,3.6,6,6.8,74,6.8,3,0,8,8,5,High
S156,Female,22,1,4.6,6,7.4,97,8.5,0,2,8,8,1,High
S157,Male,20,5,3.9,2,5.6,70,6.4,4,4,9,7,8,Medium
S158,Male,21,4,1.0,6,4.2,95,9.7,4,1,1,8,2,Medium
S159,Female,23,2,8.3,9,6.1,76,8.2,0,1,8,8,9,High
S160,Male,20,6,5.6,5,9.0,89,9.2,3,2,10,1,6,Medium
S161,Male,20,2,4.7,9,5.1,89,3.8,2,2,10,3,6,High
S162,Male,22,3,5.4,6,5.4,84,4.2,5,5,7,3,10,Medium
S163,Male,20,7,3.7,6,4.9,73,10.4,5,5,9,2,7,Medium
S164,Female,18,6,6.8,5,6.5,76,10.0,1,2,8,4,4,Medium
S165,Male,19,2,5.2,5,5.2,71,10.0,4,4,9,1,6,Medium
S166,Male,22,7,6.1,3,4.9,75,6.6,1,5,10,3,8,Medium
S167,Male,21,6,3.2,4,4.4,93,8.9,4,2,8,4,9,Medium
S168,Male,20,8,8.8,4,4.4,88,8.1,5,4,8,8,5,High
S169,Female,22,7,3.7,3,5.8,77,5.8,4,1,5,1,8,Low
S170,Female,22,2,3.3,9,6.6,72,5.3,2,0,3,5,8,Medium
S171,Male,24,7,5.5,2,6.4,79,6.5,3,2,1,7,1,Medium
S172,Female,22,6,3.2,4,5.6,89,8.5,0,2,4,1,6,Low
S173,Male,24,6,6.0,3,5.0,73,7.2,0,2,8,3,8,Medium
S174,Female,22,1,6.5,2,4.0,66,8.1,2,1,3,9,10,Medium
S175,Female,18,5,3.7,4,7.4,84,5.5,0,0,4,7,10,Low
S176,Female,18,2,1.4,8,4.1,99,7.1,0,5,9,10,4,High
S177,Male,20,7,5.5,1,5.1,87,8.3,1,4,7,3,2,Medium
S178,Female,18,1,1.7,7,6.4,95,4.6,0,5,7,6,5,Medium
S179,Male,20,2,3.7,6,6.6,80,5.3,5,5,2,10,6,Medium
S180,Male,18,6,4.2,9,8.0,86,5.8,5,1,8,8,3,High
S181,Male,18,8,6.7,1,4.8,83,8.1,1,0,4,1,6,Low
S182,Female,22,7,7.9,9,3.0,95,5.4,2,0,4,5,6,High
S183,Male,24,6,6.2,5,6.2,72,7.7,2,3,7,8,7,Medium
S184,Female,19,8,3.8,8,6.6,88,6.7,4,2,2,7,2,Medium
S185,Female,22,3,7.3,9,6.9,83,7.7,2,0,2,6,5,Medium
S186,Female,21,7,4.2,3,5.8,93,6.1,2,3,1,6,10,Low
S187,Female,20,1,5.8,2,5.9,90,7.6,2,4,3,1,3,Low
S188,Female,18,3,9.2,2,7.8,80,6.3,5,2,6,7,10,Medium
S189,Male,22,3,7.4,8,5.9,88,2.9,2,3,2,10,3,High
S190,Female,21,6,3.0,5,3.7,80,6.3,0,0,3,8,9,Medium
S191,Female,22,2,5.0,5,9.0,81,7.7,5,3,4,10,5,Medium
S192,Female,19,2,4.6,3,7.7,69,2.6,3,1,8,2,6,Low
S193,Female,23,2,5.5,9,7.7,99,4.0,2,2,3,3,6,Low
S194,Male,18,4,7.3,3,7.0,80,6.2,3,0,6,9,10,Medium
S195,Female,21,3,6.3,10,9.0,70,7.4,0,2,7,8,9,Medium
S196,Female,24,7,5.5,10,5.8,69,5.3,1,2,2,8,8,Medium
S197,Female,19,3,6.7,3,5.2,92,7.1,4,0,2,9,3,Medium
S198,Female,19,3,4.0,6,7.2,79,7.7,2,4,5,2,5,Low
S199,Male,23,5,7.1,3,5.7,84,6.5,4,4,2,9,3,Medium
S200,Male,19,6,3.0,10,5.8,67,7.8,0,0,1,10,5,Medium
S201,Male,24,7,6.5,10,5.1,66,8.7,3,5,9,5,5,High
S202,Female,19,7,7.7,5,7.1,94,10.8,0,5,1,3,8,Low
S203,Female,21,8,3.5,4,4.6,86,3.4,4,1,6,6,6,Medium
S204,Female,19,6,8.0,9,7.5,100,6.9,0,2,4,8,2,High
S205,Female,21,4,5.6,3,4.8,71,11.9,0,2,7,10,7,High
S206,Male,24,3,5.3,6,6.7,85,8.5,1,1,8,9,8,High
S207,Female,20,8,6.0,1,6.8,70,5.4,3,4,8,4,4,Medium
S208,Female,18,1,5.9,5,9.0,96,9.7,4,5,8,5,9,Medium
S209,Male,24,2,8.2,7,5.7,73,5.0,2,5,6,7,6,High
S210,Male,21,1,4.7,10,6.6,100,9.2,1,2,9,5,2,High
S211,Female,22,8,1.6,9,8.8,82,6.7,4,5,10,2,3,Medium
S212,Male,21,6,4.1,6,5.0,100,3.7,2,1,4,10,9,Medium
S213,Female,22,1,6.6,1,6.6,67,4.4,1,5,6,8,9,Low
S214,Female,19,3,2.4,6,6.0,85,10.3,1,3,10,5,10,Medium
S215,Female,22,8,4.5,10,4.2,84,6.5,3,0,6,6,2,High
S216,Female,22,5,4.5,1,3.0,95,6.9,2,5,10,10,4,High
S217,Male,22,8,4.5,3,7.5,98,10.7,5,5,10,7,3,High
S218,Male,18,2,7.3,4,6.1,66,4.8,3,2,7,3,7,Medium
S219,Male,21,8,10.1,1,6.6,73,7.0,4,1,9,6,8,Medium
S220,Female,20,3,5.0,8,6.8,99,6.7,2,4,6,5,10,Medium
S221,Female,19,4,3.9,5,5.7,100,6.9,2,1,5,5,4,Medium
S222,Female,20,8,3.9,6,5.4,100,7.2,5,2,5,2,10,Low
S223,Female,21,6,4.5,3,8.8,83,2.0,0,2,2,6,8,Low
S224,Female,23,8,7.2,4,8.4,77,2.9,4,2,9,5,3,Medium
S225,Male,22,4,4.3,4,5.9,68,4.2,5,4,4,4,1,Medium
S226,Male,21,6,3.4,8,4.8,71,10.5,5,1,1,9,3,High
S227,Female,23,8,6.9,8,8.4,77,8.4,2,2,5,1,2,Medium
S228,Male,22,1,2.7,3,5.7,91,8.0,1,0,7,8,3,Medium
S229,Female,18,1,2.6,5,7.6,71,6.5,2,2,8,9,9,Medium
S230,Female,19,8,4.3,5,7.6,77,7.9,0,2,3,8,5,Medium
S231,Male,18,6,4.3,5,8.2,77,4.8,1,4,7,7,9,Low
S232,Female,18,7,6.2,2,7.4,76,6.4,1,3,6,4,1,Medium
S233,Female,21,4,5.7,8,4.6,82,8.8,2,2,10,10,1,High
S234,Female,23,6,4.6,4,5.7,68,9.1,5,0,8,5,3,High
S235,Female,23,5,3.6,2,4.4,83,3.9,2,4,4,4,3,Low
S236,Female,19,8,6.2,10,4.6,88,10.5,3,5,9,8,9,High
S237,Male,24,4,1.0,10,9.0,70,7.4,4,3,9,6,2,High
S238,Male,18,4,4.8,10,5.7,99,7.8,1,1,6,9,8,High
S239,Male,23,4,4.9,10,8.2,96,7.2,0,4,8,1,8,Medium
S240,Male,22,7,5.3,8,6.0,68,6.9,4,3,5,1,7,Medium
S241,Female,24,1,5.6,4,3.9,69,4.3,0,3,6,2,9,Low
S242,Male,18,8,6.5,1,6.8,83,6.6,3,1,3,7,6,Low
S243,Female,21,7,5.0,7,7.0,70,5.9,5,5,9,3,6,Medium
S244,Male,19,7,3.4,9,6.8,73,5.0,5,1,1,1,5,Low
S245,Female,23,7,5.8,9,3.9,89,9.1,1,1,8,6,3,High
S246,Female,19,2,5.9,1,6.9,91,9.0,4,0,4,4,2,Medium
S247,Male,22,1,8.3,8,8.0,68,3.3,1,5,1,7,8,Low
S248,Male,22,4,2.4,1,5.6,73,7.1,4,2,4,10,6,Medium
S249,Female,19,5,6.0,3,5.4,98,7.4,1,3,5,5,1,Medium
S250,Male,23,7,3.5,9,5.6,96,4.2,0,2,7,9,6,High
S251,Female,21,3,3.2,5,4.5,89,5.0,1,4,8,4,4,Medium
S252,Female,24,3,7.1,8,5.1,68,12.3,4,3,7,9,9,High
S253,Male,21,4,6.0,5,6.8,78,5.3,2,5,2,8,6,Low
S254,Male,22,4,6.4,1,5.6,82,7.2,3,5,10,10,1,High
S255,Male,19,4,10.1,8,6.4,78,9.3,2,2,1,4,4,Medium
S256,Male,23,8,3.6,4,6.4,78,10.5,3,1,9,6,5,High
S257,Female,21,6,3.7,5,9.0,81,8.4,2,4,8,8,2,Medium
S258,Female,24,6,3.9,4,7.4,88,8.9,2,3,1,10,4,Medium
S259,Male,18,5,6.2,9,4.1,91,5.5,2,1,4,6,4,High
S260,Female,22,4,4.5,8,6.4,100,8.2,5,5,6,5,8,Medium
S261,Female,21,3,5.4,6,4.5,75,7.8,1,5,9,8,3,High
S262,Male,22,1,6.2,2,7.3,68,9.2,0,3,3,4,2,Low
S263,Male,18,4,6.7,9,7.2,94,6.9,2,0,10,10,8,High
S264,Female,18,1,1.7,9,7.1,100,7.4,3,0,1,9,5,Medium
S265,Female,18,7,5.5,3,4.6,71,4.8,0,4,3,4,4,Low
S266,Female,24,6,7.1,5,6.4,90,8.4,0,2,7,8,10,Medium
S267,Male,23,4,5.1,5,6.5,70,8.9,5,5,1,2,7,Low
S268,Female,21,8,4.0,1,6.6,65,6.1,5,1,2,8,7,Low
S269,Female,22,2,4.1,9,6.0,67,7.4,1,1,10,8,5,High
S270,Male,18,5,4.0,9,8.4,67,5.2,1,2,1,4,10,Low
S271,Male,24,7,4.6,2,5.8,84,9.9,1,4,4,10,7,Medium
S272,Female,21,3,5.4,2,8.0,97,4.0,5,2,1,2,7,Low
S273,Male,24,2,5.5,6,7.8,90,7.2,2,0,5,8,8,Medium
S274,Male,20,7,7.1,7,5.7,76,9.8,5,4,7,2,10,Medium
S275,Female,24,4,9.6,2,6.0,70,6.1,2,1,7,3,7,Medium
S276,Female,20,2,7.9,2,8.9,65,6.0,2,3,6,5,2,Medium
S277,Male,18,3,4.2,7,6.1,93,4.3,4,4,9,7,2,High
S278,Male,18,6,3.2,9,5.0,70,5.5,4,4,6,7,1,High
S279,Female,21,7,4.9,2,6.9,100,10.1,1,4,9,3,7,Low
S280,Male,19,5,3.0,5,8.0,82,6.6,3,1,2,3,7,Low
S281,Female,21,5,4.9,8,7.5,69,4.8,2,2,4,8,10,Medium
S282,Male,21,2,5.8,3,6.7,84,8.0,0,3,6,10,7,Medium
S283,Female,21,6,5.6,7,9.0,73,5.7,2,2,10,4,8,Medium
S284,Female,19,7,3.9,6,5.6,83,5.9,5,5,8,10,4,High
S285,Female,21,5,3.7,7,8.3,88,9.8,0,4,4,10,9,Medium
S286,Male,23,1,3.9,8,5.3,78,7.9,3,2,2,7,8,Medium
S287,Male,23,5,3.9,4,7.4,81,7.4,5,1,7,7,2,High
S288,Female,22,8,2.0,10,8.8,90,10.6,4,4,7,9,1,High
S289,Female,23,2,3.8,2,5.9,80,7.6,5,5,6,3,10,Low
S290,Male,22,7,5.7,6,7.5,92,11.0,0,0,2,5,4,Medium
S291,Male,21,6,4.6,7,5.3,94,4.2,5,4,9,3,6,Medium
S292,Male,21,2,3.5,5,6.5,91,10.6,0,0,3,6,5,Medium
S293,Female,21,4,4.0,9,6.8,95,7.0,2,3,2,8,8,Medium
S294,Female,18,5,7.4,1,9.0,72,5.9,0,2,2,3,4,Low
S295,Male,22,3,4.0,6,8.1,100,8.4,3,3,4,7,3,Medium
S296,Male,23,7,8.7,7,7.4,66,6.3,5,4,4,8,10,Medium
S297,Female,21,1,6.2,4,8.2,78,8.6,2,5,2,10,2,Medium
S298,Male,20,6,6.0,4,8.1,94,9.3,0,2,8,9,6,Medium
S299,Female,22,7,7.8,10,7.5,72,6.7,2,2,8,10,3,High
S300,Female,22,2,5.3,3,8.3,85,5.4,0,1,5,2,3,Low
S301,Female,23,3,5.7,9,5.9,89,7.1,3,4,3,10,7,High
S302,Female,19,8,7.6,9,6.8,76,7.1,4,1,8,5,3,High
S303,Male,20,8,2.3,10,7.6,68,8.3,2,0,8,3,4,High
S304,Female,22,8,9.3,7,6.0,96,7.4,3,5,8,8,3,High
S305,Male,22,1,5.5,4,8.9,83,6.8,0,2,4,9,5,Medium
S306,Male,24,8,5.6,10,7.4,96,7.4,4,4,2,10,2,High
S307,Female,24,6,4.1,9,6.8,67,9.1,5,3,9,4,7,High
S308,Male,23,4,2.9,5,6.7,67,5.6,3,2,6,2,8,Low
S309,Male,24,4,7.4,4,4.2,87,5.9,5,4,7,3,10,Medium
S310,Male,24,4,5.8,4,8.8,68,6.9,4,2,9,5,10,Medium
S311,Male,20,5,3.9,5,9.0,82,4.1,4,5,2,3,7,Low
S312,Male,20,3,1.0,3,7.2,80,6.0,1,5,6,4,7,Low
S313,Female,19,5,3.0,7,7.6,89,7.5,3,0,2,7,9,Low
S314,Female,23,6,3.9,8,4.6,96,8.7,2,4,1,2,8,Low
S315,Female,24,2,6.3,9,6.4,90,10.7,1,3,4,8,5,High
S316,Female,24,5,2.9,6,4.2,100,5.6,4,1,10,8,6,High
S317,Male,18,2,4.9,8,6.9,66,6.5,0,1,8,8,1,High
S318,Female,19,3,5.7,5,4.6,75,9.9,2,0,6,5,2,High
S319,Female,23,3,4.8,1,8.2,90,7.7,5,2,4,7,2,Medium
S320,Male,18,4,5.9,8,7.4,69,7.9,1,4,4,9,8,Medium
S321,Male,18,6,6.3,2,8.5,92,7.4,5,1,8,2,4,Medium
S322,Female,18,2,6.4,2,6.4,85,9.9,2,2,3,7,3,Medium
S323,Male,18,1,3.6,10,9.0,75,6.9,3,2,4,3,7,Low
S324,Female,24,4,2.1,2,6.7,71,5.6,1,0,10,7,6,Medium
S325,Female,20,3,6.7,4,5.5,82,6.1,5,0,4,9,10,Medium
S326,Female,24,1,1.2,5,5.8,78,2.2,4,4,9,4,7,Medium
S327,Female,23,1,1.8,4,7.6,96,8.6,3,0,4,8,10,Low
S328,Male,22,1,5.9,6,5.0,85,6.9,1,3,10,7,6,High
S329,Male,24,8,5.0,2,4.8,66,10.0,4,0,1,5,4,Medium
S330,Male,18,7,6.8,9,6.2,83,7.1,5,5,9,7,7,High
S331,Female,18,3,5.4,5,3.4,70,6.5,2,0,9,4,3,High
S332,Female,21,2,3.6,5,5.0,92,6.4,5,1,1,4,2,Medium
S333,Female,18,8,8.6,10,7.5,68,5.9,2,5,3,2,1,Medium
S334,Male,23,1,6.1,3,8.6,96,8.8,2,4,9,5,3,Medium
S335,Female,19,5,5.1,2,5.5,66,8.4,2,3,5,9,2,Medium
S336,Female,23,2,5.8,8,7.8,94,8.3,4,2,1,8,10,Low
S337,Male,20,3,7.1,5,5.7,71,9.6,4,5,2,4,9,Low
S338,Male,18,1,5.4,4,9.0,67,5.6,3,2,7,3,3,Medium
S339,Male,22,7,8.5,4,6.8,85,5.7,1,3,6,5,2,Medium
S340,Female,18,1,4.0,3,6.0,79,7.8,4,0,7,2,8,Low
S341,Female,24,5,6.0,6,5.6,70,7.0,4,3,1,6,4,Medium
S342,Female,22,5,9.3,10,9.0,80,7.9,3,2,10,8,4,High
S343,Male,19,1,5.1,7,6.7,66,8.2,1,4,6,1,6,Medium
S344,Male,24,7,3.0,5,6.1,71,3.7,1,4,4,7,8,Low
S345,Male,19,5,5.8,2,7.5,67,6.0,1,4,7,6,8,Low
S346,Male,22,2,8.1,9,4.7,73,4.1,5,3,2,10,10,Medium
S347,Male,21,3,5.4,4,8.1,83,10.4,2,2,7,6,6,Medium
S348,Female,20,4,4.1,2,8.1,77,6.9,1,4,2,3,2,Low
S349,Male,21,8,4.7,6,7.8,91,8.3,0,4,6,4,8,Low
S350,Female,21,5,1.8,2,8.7,70,9.8,1,5,5,10,1,Medium
S351,Male,24,6,3.7,3,7.1,70,8.0,5,1,6,7,9,Medium
